Código , Descripción,2007 R/,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018 P/,,,,,,,,,,,,,,,,,,,,,,,,,
,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,,,,,,,,,,,,,,,,,,,,,
,Exportaciones totales,51 250 250,57 823 366,62 611 002,66 125 122,,62 193 381,70 478 739,70 100 001,55 195 658,,42 154 792,46 254 415,51 204 506,58 620 411,,57 063 077,64 740 463,66 150 428,70 550 779,,69 739 352,76 621 036,76 024 743,77 347 388,,76 824 710,80 855 251,79 122 027,83 212 197,,75 690 534,83 325 586,84 756 629,85 789 957,,79 268 653,89 120 165,89 123 755,90 047 109,,80 028 821,86 829 973,85 699 522,84 611 879,,73 507 644,81 789 929,83 702 236,85 901 611,,80 280 860,87 752 282,88 395 527,95 297 392,,88 814 004,97 249 591,99 028 724,102 350 470,,,,,,,,,,,,,,,,,,,,,,
21,Minería,7 938 380,9 535 232,10 765 470,12 185 741,,12 033 089,13 685 693,12 870 601,6 248 271,,4 934 089,6 712 813,7 540 111,8 660 669,,8 735 619,9 363 811,9 512 155,11 771 366,,12 780 665,14 268 939,13 623 189,14 554 502,,14 157 618,12 807 669,13 233 306,13 328 534,,12 438 462,11 562 394,12 247 324,11 709 774,,11 276 457,11 070 211,10 580 354,8 467 664,,6 633 287,6 597 935,5 873 533,4 780 692,,3 848 219,5 119 825,6 175 464,6 362 508,,5 976 310,5 727 188,6 623 098,8 411 303,,8 431 130,8 935 409,9 193 234,8 257 426,,,,,,,,,,,,,,,,,,,,,,
211,Extracción de petróleo y gas,7 367 128,8 935 183,10 104 521,11 530 345,,11 446 759,13 386 454,12 534 309,5 974 021,,4 533 466,6 124 049,6 954 411,8 002 111,,8 035 803,8 494 193,8 686 695,10 701 824,,11 494 163,12 849 290,12 106 766,12 930 374,,12 425 063,11 118 645,11 657 021,11 651 626,,11 142 297,10 139 330,10 978 125,10 451 904,,9 898 863,9 552 279,9 108 992,7 078 344,,5 160 417,5 132 938,4 594 710,3 562 986,,2 680 167,3 757 294,4 491 845,4 652 987,,4 359 749,4 063 177,4 977 691,6 622 858,,6 285 895,6 736 752,7 183 695,6 276 450,,,,,,,,,,,,,,,,,,,,,,
212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas", 571 252, 600 049, 660 949, 655 396,, 586 330, 299 239, 336 292, 274 250,, 400 623, 588 764, 585 700, 658 558,, 699 816, 869 618, 825 460,1 069 542,,1 286 502,1 419 649,1 516 423,1 624 128,,1 732 555,1 689 024,1 576 285,1 676 908,,1 296 165,1 423 064,1 269 199,1 257 870,,1 377 594,1 517 932,1 471 362,1 389 320,,1 472 870,1 464 997,1 278 823,1 217 706,,1 168 052,1 362 531,1 683 619,1 709 521,,1 616 561,1 664 011,1 645 407,1 788 445,,2 145 235,2 198 657,2 009 539,1 980 976,,,,,,,,,,,,,,,,,,,,,,
31-33,Industrias manufactureras,43 311 872,48 288 133,51 845 531,53 939 380,,50 160 292,56 793 047,57 229 401,48 947 385,,37 220 703,39 541 600,43 664 393,49 959 741,,48 327 456,55 376 652,56 638 270,58 779 413,,56 958 687,62 352 094,62 401 552,62 792 887,,62 667 092,68 047 581,65 888 720,69 883 664,,63 252 070,71 763 192,72 509 305,74 080 186,,67 992 195,78 049 954,78 543 405,81 579 443,,73 395 535,80 232 037,79 825 990,79 831 185,,69 659 423,76 670 104,77 526 773,79 539 102,,74 304 552,82 025 095,81 772 430,86 886 088,,80 382 872,88 314 182,89 835 492,94 093 045,,,,,,,,,,,,,,,,,,,,,,
311,Industria alimentaria, 924 606, 999 759, 983 848,1 027 237,,1 164 696,1 285 880,1 280 118,1 152 069,,1 224 951,1 299 361,1 177 568,1 172 250,,1 227 179,1 295 934,1 422 990,1 443 481,,1 754 318,1 837 248,1 622 959,1 593 108,,1 681 035,1 711 163,1 644 454,1 640 293,,1 720 409,1 887 198,1 826 528,1 767 621,,1 734 977,1 973 717,1 712 778,1 667 318,,2 082 752,2 243 243,2 263 916,1 957 143,,2 010 942,2 167 299,2 117 366,2 144 358,,2 207 226,2 326 303,2 230 560,2 236 706,,2 314 062,2 391 188,2 256 312,2 282 875,,,,,,,,,,,,,,,,,,,,,,
312,Industria de las bebidas y el tabaco, 345 215, 409 600, 417 434, 376 234,, 424 298, 546 720, 506 003, 456 779,, 375 283, 473 846, 524 079, 407 889,, 380 236, 596 911, 534 361, 440 894,, 450 810, 542 289, 532 125, 470 657,, 510 587, 606 503, 589 696, 566 136,, 576 455, 708 780, 990 825, 904 756,, 854 003,1 117 712,1 157 531, 988 743,,1 034 450,1 136 478,1 013 066, 852 531,, 917 302,1 067 921, 899 408,1 075 506,,1 147 604,1 384 294,1 321 427,1 244 923,,1 265 474,1 524 808,1 468 354,1 383 639,,,,,,,,,,,,,,,,,,,,,,
313,Fabricación de insumos textiles y acabado de textiles, 152 773, 163 882, 169 873, 157 858,, 159 871, 164 552, 171 190, 132 886,, 110 759, 114 714, 131 220, 134 696,, 138 490, 161 446, 179 515, 172 965,, 187 192, 191 689, 168 005, 149 125,, 155 511, 168 565, 165 333, 165 453,, 150 216, 162 106, 176 636, 165 950,, 162 025, 177 398, 200 442, 186 798,, 176 257, 184 603, 193 368, 171 875,, 146 817, 154 651, 165 518, 151 493,, 155 108, 171 234, 189 838, 178 604,, 153 677, 176 003, 185 349, 186 249,,,,,,,,,,,,,,,,,,,,,,
314,"Fabricación de productos textiles, excepto prendas de vestir", 124 825, 138 345, 141 593, 134 591,, 124 929, 150 857, 150 307, 115 799,, 119 583, 124 627, 133 208, 146 389,, 101 794, 119 070, 119 751, 122 118,, 96 552, 122 347, 110 796, 107 783,, 112 683, 121 491, 109 885, 123 088,, 108 908, 126 406, 119 081, 125 080,, 116 396, 128 501, 129 981, 133 850,, 127 386, 146 104, 140 676, 137 615,, 127 023, 136 661, 133 452, 130 123,, 117 578, 127 841, 120 533, 127 493,, 109 507, 123 145, 135 501, 119 840,,,,,,,,,,,,,,,,,,,,,,
315,Fabricación de prendas de vestir,1 048 548,1 161 764,1 232 728,1 118 949,, 976 190,1 126 119,1 216 310,1 032 718,, 858 078, 895 784, 967 792, 924 333,, 904 997,1 052 469,1 128 941, 993 628,, 884 451, 992 040,1 036 429, 905 732,, 866 016, 920 778, 955 512, 909 187,, 817 087, 920 508, 991 110, 913 233,, 826 092, 910 576, 983 909, 949 785,, 821 607, 895 494, 921 246, 855 811,, 783 288, 836 625, 827 477, 772 826,, 710 899, 763 733, 794 443, 784 237,, 725 022, 789 589, 851 532, 848 576,,,,,,,,,,,,,,,,,,,,,,
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos", 157 669, 177 045, 177 482, 165 534,, 148 064, 169 494, 155 153, 141 640,, 118 476, 149 427, 187 559, 192 402,, 176 763, 195 832, 209 568, 205 841,, 174 313, 194 813, 217 343, 193 666,, 223 071, 230 449, 259 911, 286 735,, 240 665, 250 373, 256 596, 223 405,, 208 251, 251 448, 282 151, 243 810,, 228 114, 240 112, 295 058, 245 886,, 205 394, 242 385, 251 623, 204 011,, 216 560, 203 452, 212 002, 221 226,, 198 538, 223 017, 220 423, 217 774,,,,,,,,,,,,,,,,,,,,,,
321,Industria de la madera, 48 700, 55 212, 58 667, 55 199,, 50 410, 54 998, 52 826, 43 429,, 45 918, 48 875, 50 701, 49 237,, 47 308, 57 946, 57 912, 47 694,, 43 470, 53 952, 51 400, 49 239,, 32 542, 33 508, 32 380, 33 141,, 33 837, 47 177, 40 716, 35 871,, 31 506, 35 555, 37 494, 37 417,, 35 895, 39 960, 39 954, 38 731,, 35 497, 41 256, 39 931, 38 428,, 49 157, 54 122, 53 977, 54 061,, 51 106, 56 940, 58 814, 70 414,,,,,,,,,,,,,,,,,,,,,,
322,Industria del papel, 211 932, 250 214, 244 417, 265 037,, 231 817, 263 857, 254 045, 239 521,, 203 669, 214 703, 223 956, 236 064,, 234 866, 250 408, 256 516, 282 184,, 249 088, 263 565, 259 250, 256 735,, 248 146, 255 957, 252 731, 270 750,, 247 473, 279 719, 273 980, 300 245,, 269 306, 315 774, 307 002, 326 424,, 298 275, 320 740, 317 571, 331 583,, 301 388, 329 650, 324 503, 326 467,, 376 272, 401 571, 410 957, 440 602,, 401 718, 430 535, 436 425, 439 430,,,,,,,,,,,,,,,,,,,,,,
323,Impresión e industrias conexas, 59 123, 64 560, 67 516, 71 715,, 60 305, 93 651, 113 513, 96 520,, 78 907, 89 081, 95 769, 110 371,, 95 357, 113 787, 105 527, 124 499,, 106 757, 131 956, 117 506, 100 283,, 117 946, 134 073, 143 386, 141 890,, 122 497, 159 873, 189 074, 168 347,, 137 881, 152 525, 169 545, 153 615,, 215 916, 285 628, 285 124, 282 553,, 238 124, 301 769, 280 266, 257 190,, 148 120, 187 117, 177 804, 190 448,, 156 089, 188 140, 194 612, 197 906,,,,,,,,,,,,,,,,,,,,,,
324,Fabricación de productos derivados del petróleo y del carbón, 539 963, 456 118, 656 529, 559 428,,1 118 667,1 386 393,1 685 167,1 080 851,, 638 020, 699 878, 930 499,1 049 168,, 819 532, 627 068, 848 755, 756 748,, 891 678, 911 308, 691 255, 980 328,,1 052 321, 534 647, 615 334, 562 272,, 895 765, 837 206, 699 324,1 112 687,, 899 989,1 051 230, 838 831, 826 662,, 587 920, 710 711, 394 553, 145 353,, 528 033, 567 228, 439 547, 440 637,, 657 553, 571 719, 414 563, 413 613,, 573 235, 736 657, 511 004, 554 811,,,,,,,,,,,,,,,,,,,,,,
325,Industria química,2 351 019,2 512 065,2 446 213,2 407 115,,2 287 511,2 737 358,2 944 574,2 226 457,,1 900 518,2 031 284,2 325 757,2 399 983,,2 600 038,2 722 834,2 659 960,2 739 482,,3 088 608,3 409 360,3 541 373,3 105 543,,3 357 078,3 320 247,3 248 420,2 931 733,,3 126 537,3 329 237,3 330 838,3 189 788,,3 110 805,3 411 619,3 501 633,3 201 658,,3 263 277,2 962 684,3 071 527,2 879 222,,2 235 242,2 428 632,2 440 676,2 341 121,,2 651 643,2 734 568,2 562 832,2 587 712,,2 707 326,2 961 471,2 745 628,2 717 019,,,,,,,,,,,,,,,,,,,,,,
326,Industria del plástico y del hule, 829 895, 916 430, 934 715, 979 826,, 932 780,1 072 175,1 089 615, 912 511,, 754 799, 865 094,1 017 742,1 086 188,,1 130 452,1 239 321,1 290 516,1 283 897,,1 319 942,1 414 401,1 476 092,1 458 583,,1 550 540,1 717 213,1 693 166,1 669 553,,1 657 847,1 813 935,1 811 448,1 813 000,,2 009 268,2 193 385,2 348 686,2 415 158,,2 007 619,2 246 355,2 222 568,2 199 000,,2 016 565,2 276 963,2 294 772,2 249 825,,2 143 653,2 313 909,2 226 941,2 316 454,,2 208 955,2 500 713,2 405 624,2 479 894,,,,,,,,,,,,,,,,,,,,,,
